"Trúc Giang";"Phạm Trần";"READER";"2000-09-09";"2";"pttgiang@st.uni.edu.vn";"0416749163";"pttgiangr.jpg"
"Tuấn Đạt";"Trần";"READER";"2002-02-03";"1";"ttdat@st.uni.edu.vn";"0365779419";"ttdatr.jpg"
"Trung Tín";"Lê";"READER";"2000-09-09";"1";"lttin@st.uni.edu.vn";"0259969595";"lttinr.jpg"
"James";"Davinci";"READER";"1999-05-19";"1";"djames@st.uni.edu.vn";"0258819555";"djamesr.jpg"
"Elizabeth Lilita";"White";"READER";"2001-04-17";"2";"wllilibete@st.uni.edu.vn";"0561747372";"wllilibeter.jpg"
"Minh Thư";"Phan";"READER";"2003-09-02";"2";"pmthu@st.uni.edu.vn";"0299577833";"pmthur.jpg"
"Trúc Liên";"Thượng Quan";"LIBRARIAN";"1993-02-05";"2";"tqtlien@wellib.edu";"0423668483";"tqtlienl.jpg"
"Đại Nghĩa";"Hoàng";"LIBRARIAN";"1990-08-19";"1";"hdnghia@wellib.edu";"0249993981";"hdnghial.jpg"
"William Aaron";"Bogdan ";"LIBRARIAN";"1995-07-25";"1";"bwaaron@wellib.edu";"0576739372";"bwaaronl.jpg"
"Tayla";"Romani";"LIBRARIAN";"1994-02-01";"2";"rtayla@wellib.edu";"0221398898";"rtaylal.jpg"
"Hsang Mai";"Tsai";"ADMIN";"1999-03-15";"2";"thmai@wellib.edu";"0987214643";"thmaia.jpg"
"Aahan Ritvik";"Deshpande";"ADMIN";"1992-12-12";"1";"daritivik@wellib.edu";"0591897543";"daritivika.jpg"
"Quang Tiền";"Phạm Lê";"ADMIN";"1998-11-11";"1";"plqtien@wellib.edu";"0287716946";"plqtiena.jpg"
